Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
Serie BKT,Pisa,0.5,Mattéo Tramoni,AM (C),"AM (RL), ST (C)",26,"5'9""",Reasonable,Very Strong,7.15,2,1260,9,140,0.6,4.7,4.7,4.3,0.3,24%,0.127027027,2.6,1.4,0.1,54%,0,0,0,2,0.1,0.77,0.1,68%,22.6,0,0.1,0.1,0.9,0,0,0.1,0,0,0.2,19,1,1.5,1.8,0.6,0.5,0.4,64,14,0,0.1,0,0,13,0,0,1.4,1.1,No recurring injuries,Very Low,0.8,27,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
Serie BKT,Cremonese,0.5,Michy Batshuayi,ST (C),,33,"6'1""",Strong,Very Strong,6.88,0,1260,9,140,0.6,8.74,7.94,0.26,0.6,21%,0.2080952381,3,1.3,0,43%,0,1,100,6,0.4,1.2,0.1,58%,20,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0.8,0,0,58,19,0,0,0,0,29,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bundesliga,TSG Hoffenheim,0.53,Fisnik Asllani,ST (C),AM (C),24,"6'3""",Fairly Strong,Very Strong,7.09,2,1514,9,168.2222222,0.5,6.42,5.61,2.58,0.4,16%,0.1126315789,3.4,1.5,0.8,44%,2,1,0,2,0.1,3.08,0.2,91%,31.5,0.2,1.5,1.3,0.7,0.4,54,0.7,0.4,55,0.4,50,8,12.4,2.9,0.3,0.3,1.5,83,6,0,0.1,0.1,0,12,2,0,10.4,6.6,No recurring injuries,Above Average,6.5,32,0.3,0,0,0,0,0,0,0,0,0,0,1.7,0.8
Second Division,Tarragona,0.51,Marcos Baselga,ST (C),AM (RL),27,"5'11""",Reasonable,Very Strong,6.89,2,1537,9,170.7777778,0.5,5.38,4.57,3.62,0.3,21%,0.1251162791,2.5,1.5,0.7,60%,1,2,50,1,0.1,1,0.1,84%,25,0.2,0.8,0.5,0.4,0.2,57,0.4,0.2,57,0.9,42,17,18.6,2.2,0.1,0.6,1.4,50,2,0,0.2,0.1,0,20,0,0,10.3,5.9,No recurring injuries,Average,7.5,27,0.1,0,0,0,0,0,0,0,0,0,0,1.2,1.4
Serie A,Parthenope,0.5,Scott McTominay,M (C),"DM, AM (L)",29,"6'4""",Reasonable,Very Strong,7.09,1,1313,8,164.125,0.5,5.03,5.03,2.97,0.3,17%,0.1047916667,3.3,1.2,1,38%,1,0,0,1,0.1,3.74,0.3,91%,53.8,0.5,1.4,4.2,2.9,0.3,11,2.9,0.3,12,2.7,27,8,11.4,6.6,1.4,2,9.7,71,28,0,0.3,0.3,0,29,0,1,11.8,17.3,No recurring injuries,Very Low,4,45,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.8
Premier League,Liverpool,0.59,Florian Wirtz,AM (C),"M (C), AM (RL)",23,"5'10""",Reasonable,Very Strong,7.37,3,1319,8,164.875,0.5,6.41,6.41,1.59,0.4,15%,0.1232692308,3.5,1.7,1.8,48%,1,0,0,6,0.4,5.11,0.3,87%,49,0.7,2.7,3.3,5.8,1.3,22,1.3,0.5,42,1.6,14,9,13.1,3.4,0.3,0.9,1.6,56,9,0,0.1,0.1,0.1,9,0,0,12.5,7.3,No recurring injuries,Below Average,2.5,19,0,0,0,1,0,0,0,0,0,0,0,2.2,1.1
Bundesliga,FC Bayern München,0.5,Harry Kane,ST (C),AM (C),33,"6'2""",Strong,Very Strong,7.29,2,1230,8,153.75,0.6,4.79,4.79,3.21,0.4,19%,0.114047619,3.1,1.5,1.1,50%,1,0,0,5,0.4,3.15,0.2,87%,35.9,0.6,1.8,1.3,0.3,0.1,25,0.3,0.1,25,0.5,25,11,6.6,3.1,0.1,0.5,1.6,67,3,0,0.1,0.1,0.1,14,1,0,10.6,5.3,No recurring injuries,Above Average,5.3,42,0.1,0,0,0,0,0,0,0,0,0,0,1.7,1
Jupiler Pro League,OH Leuven,0.47,Chukwubuikem Ikwuemesi,ST (C),,25,"6'5""",Reasonable,Very Strong,6.8,1,1771,8,221.375,0.4,7,7,1,0.4,13%,0.1147540984,3.1,1.4,0.9,46%,0,1,100,1,0.1,1,0.1,91%,31.5,0.3,1.2,1,0.5,0.1,22,0.5,0.1,22,0.5,38,7,18.1,2.2,0.2,0.6,2.2,67,6,1,0.1,0.2,0,12,0,0,10.2,8.1,No recurring injuries,Below Average,8.2,32,0.1,0,0,0,0,0,0,0,0,0,0,1.1,1.2
First Division,Villarreal,0.53,Gerard Moreno,ST (C),AM (R),34,"5'11""",Very Strong,Fairly Strong,7.07,0,1239,8,154.875,0.6,4.43,4.43,3.57,0.3,17%,0.09630434783,3.3,1.2,1.5,35%,3,1,100,2,0.1,1.01,0.1,90%,30.3,0.4,1.8,1.7,0.7,0.3,40,0.7,0.3,40,0,9,3,16.4,2,0.1,0.4,1.2,40,5,0,0,0.1,0,7,0,0,10.8,7.3,No recurring injuries,Very High,6.1,27,0.4,0,0,0,0,0,0,0,0,0,0,1.5,1.6
Serie A,Bergamo,0.5,Gianluca Scamacca,ST (C),,27,"6'5""",Fairly Strong,Very Strong,6.89,0,1075,8,134.375,0.7,6.25,6.25,1.75,0.5,22%,0.1689189189,3.1,1.8,0.8,59%,2,0,0,1,0.1,1.2,0.1,87%,23.8,0.1,1,0.8,0.3,0.1,33,0.3,0.1,33,0.4,18,7,11.1,1.3,0.3,0.2,0.8,100,3,0,0,0.1,0,12,0,0,9.9,5.7,No recurring injuries,Very Low,6.9,43,0.2,0,0,0,0,0,0,0,0,0,0,1.3,1
